Evaluation_unit,Transect,Date,Cover,Subunit,Cover_perc,Fresh_weight
TAM-18,SO,6/11/2024,medium,T1,48,84
TAM-18,SO,6/11/2024,medium,T2,40,49
TAM-18,SO,6/11/2024,medium,T3,36,38
TAM-18,SO,6/11/2024,medium,T4,40,59
TAM-18,SO,6/11/2024,medium,T5,50,49
TAM-18,NO,6/11/2024,medium,T1,40,50
TAM-18,NO,6/11/2024,medium,T2,30,44
TAM-18,NO,6/11/2024,medium,T3,20,26
TAM-18,NO,6/11/2024,medium,T4,0,0
TAM-18,NO,6/11/2024,medium,T5,46,46
TAM-18,SE,6/11/2024,medium,T1,60,107
TAM-18,SE,6/11/2024,medium,T2,45,106
TAM-18,SE,6/11/2024,medium,T3,40,56
TAM-18,SE,6/11/2024,medium,T4,35,66
TAM-18,SE,6/11/2024,medium,T5,35,83
CHAL-01,SO,6/13/2024,low,T1,55,117
CHAL-01,SO,6/13/2024,low,T2,15,45
CHAL-01,SO,6/13/2024,low,T3,50,157
CHAL-01,SO,6/13/2024,low,T4,20,84
CHAL-01,SO,6/13/2024,low,T5,75,275
CHAL-01,NO,6/13/2024,low,T1,20,21
CHAL-01,NO,6/13/2024,low,T2,20,24
CHAL-01,NO,6/13/2024,low,T3,40,115
CHAL-01,NO,6/13/2024,low,T4,10,15
CHAL-01,NO,6/13/2024,low,T5,20,25
CHAL-01,SE,6/13/2024,low,T1,50,80
CHAL-01,SE,6/13/2024,low,T2,40,52
CHAL-01,SE,6/13/2024,low,T3,70,170
CHAL-01,SE,6/13/2024,low,T4,55,92
CHAL-01,SE,6/13/2024,low,T5,40,39
CHAL-03,NO,6/16/2024,low,T1,40,137
CHAL-03,NO,6/16/2024,low,T2,20,33
CHAL-03,NO,6/16/2024,low,T3,10,6
CHAL-03,NO,6/16/2024,low,T4,25,52
CHAL-03,NO,6/16/2024,low,T5,25,194
CHAL-03,SE,6/16/2024,low,T1,20,30
CHAL-03,SE,6/16/2024,low,T2,10,182
CHAL-03,SE,6/16/2024,low,T3,28,60
CHAL-03,SE,6/16/2024,low,T4,30,63
CHAL-03,SE,6/16/2024,low,T5,20,307
CHAL-03,SO,6/16/2024,low,T1,10,30
CHAL-03,SO,6/16/2024,low,T2,40,182
CHAL-03,SO,6/16/2024,low,T3,10,60
CHAL-03,SO,6/16/2024,low,T4,10,63
CHAL-03,SO,6/16/2024,low,T5,70,307
CHAL-04,NO,6/17/2024,medium,T1,75,386
CHAL-04,NO,6/17/2024,medium,T2,45,174
CHAL-04,NO,6/17/2024,medium,T3,40,53
CHAL-04,NO,6/17/2024,medium,T4,50,244
CHAL-04,NO,6/17/2024,medium,T5,30,78
CHAL-04,SO,6/17/2024,medium,T1,45,287
CHAL-04,SO,6/17/2024,medium,T2,60,318
CHAL-04,SO,6/17/2024,medium,T3,50,187
CHAL-04,SO,6/17/2024,medium,T4,8,43
CHAL-04,SO,6/17/2024,medium,T5,60,274
CHAL-08,NO,6/19/2024,low,T1,45,187
CHAL-08,NO,6/19/2024,low,T2,32,146
CHAL-08,NO,6/19/2024,low,T3,35,312
CHAL-08,NO,6/19/2024,low,T4,30,153
CHAL-08,NO,6/19/2024,low,T5,35,154
CHAL-08,SE,6/19/2024,low,T1,30,120
CHAL-08,SE,6/19/2024,low,T2,28,123
CHAL-08,SE,6/19/2024,low,T3,30,156
CHAL-08,SE,6/19/2024,low,T4,8,84
CHAL-08,SE,6/19/2024,low,T5,8,72
CHAL-08,SO,6/19/2024,low,T1,35,138
CHAL-08,SO,6/19/2024,low,T2,45,135
CHAL-08,SO,6/19/2024,low,T3,40,144
CHAL-08,SO,6/19/2024,low,T4,30,99
CHAL-08,SO,6/19/2024,low,T5,35,100
CHAL-10,NO,6/18/2024,medium,T1,10,11
CHAL-10,NO,6/18/2024,medium,T2,25,114
CHAL-10,NO,6/18/2024,medium,T3,25,65
CHAL-10,NO,6/18/2024,medium,T4,30,173
CHAL-10,NO,6/18/2024,medium,T5,10,44
CHAL-10,SE,6/18/2024,medium,T1,50,124
CHAL-10,SE,6/18/2024,medium,T2,35,130
CHAL-10,SE,6/18/2024,medium,T3,40,97
CHAL-10,SE,6/18/2024,medium,T4,35,140
CHAL-10,SE,6/18/2024,medium,T5,40,39
CHAL-10,SO,6/18/2024,medium,T1,80,132
CHAL-10,SO,6/18/2024,medium,T2,10,83
CHAL-10,SO,6/18/2024,medium,T3,20,85
CHAL-10,SO,6/18/2024,medium,T4,15,62
CHAL-10,SO,6/18/2024,medium,T5,15,150
TAM-17,NO,6/14/2024,high,T1,65,170
TAM-17,NO,6/14/2024,high,T2,65,373
TAM-17,NO,6/14/2024,high,T3,45,292
TAM-17,NO,6/14/2024,high,T4,80,164
TAM-17,NO,6/14/2024,high,T5,40,101
TAM-17,SE,6/14/2024,high,T1,47,260
TAM-17,SE,6/14/2024,high,T2,55,252
TAM-17,SE,6/14/2024,high,T3,70,408
TAM-17,SE,6/14/2024,high,T4,38,199
TAM-17,SE,6/14/2024,high,T5,40,139
TAM-17,SO,6/14/2024,high,T1,80,520
TAM-17,SO,6/14/2024,high,T2,60,191
TAM-17,SO,6/14/2024,high,T3,0,0
TAM-17,SO,6/14/2024,high,T4,55,160
TAM-17,SO,6/14/2024,high,T5,25,146
CHAL-07,NO,6/15/2024,medium,T1,70,253
CHAL-07,NO,6/15/2024,medium,T2,50,163
CHAL-07,NO,6/15/2024,medium,T3,55,223
CHAL-07,NO,6/15/2024,medium,T4,45,112
CHAL-07,NO,6/15/2024,medium,T5,60,126
CHAL-07,SE,6/15/2024,medium,T1,45,110
CHAL-07,SE,6/15/2024,medium,T2,40,181
CHAL-07,SE,6/15/2024,medium,T3,38,217
CHAL-07,SE,6/15/2024,medium,T4,50,283
CHAL-07,SE,6/15/2024,medium,T5,30,68
CHAL-07,SO,6/15/2024,medium,T1,50,139
CHAL-07,SO,6/15/2024,medium,T2,53,132
CHAL-07,SO,6/15/2024,medium,T3,50,182
CHAL-07,SO,6/15/2024,medium,T4,45,194
CHAL-07,SO,6/15/2024,medium,T5,55,463
TAM-15,SO,6/12/2024,medium,T1,50,169
TAM-15,SO,6/12/2024,medium,T2,75,376
TAM-15,SO,6/12/2024,medium,T3,60,374
TAM-15,SO,6/12/2024,medium,T4,32,81
TAM-15,SO,6/12/2024,medium,T5,50,176
TAM-15,NO,6/12/2024,medium,T1,60,258
TAM-15,NO,6/12/2024,medium,T2,45,276
TAM-15,NO,6/12/2024,medium,T3,50,223
TAM-15,NO,6/12/2024,medium,T4,88,231
TAM-15,NO,6/12/2024,medium,T5,28,124
TAM-15,SE,6/12/2024,medium,T1,30,312
TAM-15,SE,6/12/2024,medium,T2,40,155
TAM-15,SE,6/12/2024,medium,T3,27,179
TAM-15,SE,6/12/2024,medium,T4,25,179
TAM-15,SE,6/12/2024,medium,T5,40,154
CHAL-06,NO,6/20/2024,high,T1,55,340
CHAL-06,NO,6/20/2024,high,T2,50,351
CHAL-06,NO,6/20/2024,high,T3,30,128
CHAL-06,NO,6/20/2024,high,T4,70,1419
CHAL-06,NO,6/20/2024,high,T5,50,1070